order_id,latitude,longitude,demand,address,city
DEPOT,40.86534118652344,-73.92707061767578,0,NYC Taxi Depot,NYC
ORD-1,40.74940490722656,-73.99177551269531,1,NYC Delivery 1,NYC
ORD-2,40.721805572509766,-73.97529602050781,3,NYC Delivery 2,NYC
ORD-3,40.73733901977539,-73.97962951660156,3,NYC Delivery 3,NYC
ORD-4,40.75555419921875,-73.97563171386719,2,NYC Delivery 4,NYC
ORD-5,40.764591217041016,-73.96166229248047,3,NYC Delivery 5,NYC
ORD-6,40.75785827636719,-73.96041107177734,1,NYC Delivery 6,NYC
ORD-7,40.768123626708984,-73.98106384277344,3,NYC Delivery 7,NYC
ORD-8,40.757720947265625,-73.97148132324219,3,NYC Delivery 8,NYC
ORD-9,40.80255126953125,-73.96768951416016,3,NYC Delivery 9,NYC
ORD-10,40.74822998046875,-73.9925308227539,1,NYC Delivery 10,NYC
